-00:00:01.5560000		Yoo Rose casts Ruin III on Ramuh
00:00:12.4020000		Ramuh prepares Judgment Volts on Yujin Ahn 36455
00:00:12.4020000		Ramuh prepares Judgment Volts on Aihyooni Yoomi 55307
00:00:12.4020000		Ramuh prepares Judgment Volts on Minju Rose +29469 (CRITICAL)
00:00:12.4020000		Ramuh prepares Judgment Volts on Dengue Fever 54693
00:00:12.4020000		Ramuh prepares Judgment Volts on Run Escape 54293
00:00:12.4020000		Ramuh prepares Judgment Volts on Yoo Rose 55465
00:00:12.4020000		Ramuh prepares Judgment Volts on Blue Fever 57447
00:00:12.4910000		Ifrit-Egi Flaming Crush Ramuh 19690
00:00:12.4910000		Run Escape gains Further Ruin from Run Escape
00:00:12.4910000		Ifrit-Egi prepares Inferno on Ramuh 29878 (CRITICAL)
00:00:12.4910000		Yoo Rose prepares Summon Bahamut on Yoo Rose 
00:00:12.4910000		Yujin Ahn prepares Attack on Ramuh 8674 (CRITICAL)
00:00:12.6250000		Yoo Rose Deathflare Ramuh 33699
00:00:12.6250000		Minju Rose Riot Blade Ramuh 13876
00:00:12.7130000		Ifrit-Egi Burning Strike Ramuh 4746
00:00:12.7130000		Yujin Ahn Fell Cleave Ramuh 40161
00:00:12.7130000		Dan Tam Dream Within A Dream Ramuh 8409
00:00:12.8460000		Dan Tam Dream Within A Dream Ramuh 10353
00:00:12.8910000		Minju Rose gains Whispering Dawn from Eos
00:00:12.8920000		Dengue Fever prepares Glare on Ramuh 22232
00:00:12.9360000		Ramuh Judgment Volts Dan Tam 60680
00:00:12.9800000		Ramuh Judgment Volts Yujin Ahn 36455
00:00:12.9800000		Dan Tam Dream Within A Dream Ramuh 16654
00:00:13.0250000		Ramuh Judgment Volts Aihyooni Yoomi 55307
00:00:13.0250000		Dan Tam gains Whispering Dawn from Eos
00:00:13.0250000		Blue Fever Burst Shot Ramuh 26070
00:00:13.0250000		Yujin Ahn Attack Ramuh 8674
00:00:13.0690000		Ramuh Judgment Volts Minju Rose 29469
00:00:13.1140000		Ramuh Judgment Volts Dengue Fever 54693
00:00:13.1140000		Run Escape Fester Ramuh 38606
00:00:13.1580000		Ramuh Judgment Volts Run Escape 54293
00:00:13.1580000		Yujin Ahn gains Whispering Dawn from Eos
00:00:13.1580000		Run Escape prepares Ruin III on Ramuh 25584 (CRITICAL)
00:00:13.2020000		Ramuh Judgment Volts Yoo Rose 55465
00:00:13.2470000		Ramuh Judgment Volts Blue Fever 57447
00:00:13.2920000		Dengue Fever gains Whispering Dawn from Eos
00:00:13.2920000		Dan Tam prepares Attack on Ramuh 4706 (DIRECT HIT)
00:00:13.4250000		Aihyooni Yoomi gains Whispering Dawn from Eos
00:00:13.4250000		Ifrit-Egi Inferno Ramuh 29878
00:00:13.4250000		Ramuh gains Inferno from Ifrit-Egi
00:00:13.4250000		Blue Fever prepares Barrage on Blue Fever 128 (DIRECT HIT)
00:00:13.4250000		Minju Rose prepares Attack on Ramuh 3824 (DIRECT HIT)
00:00:13.4250000		Dan Tam prepares Chi on Dan Tam 
00:00:13.4250000		Blue Fever gains Barrage from Blue Fever
00:00:13.4250000		Blue Fever gains Straight Shot Ready from Blue Fever
00:00:13.4250000		Dan Tam gains Mudra from Dan Tam
00:00:13.4690000		Yujin Ahn prepares Upheaval on Ramuh 30644 (CRITICAL)
00:00:13.5140000		Yoo Rose prepares Ruin IV on Ramuh 34498 (CRITICAL)
00:00:13.5140000		Yoo Rose gains Further Ruin from Yoo Rose
00:00:13.5590000		Run Escape gains Whispering Dawn from Eos
00:00:13.5590000		Demi-Bahamut prepares Wyrmwave on Ramuh 8037
00:00:13.6920000		Yoo Rose gains Whispering Dawn from Eos
00:00:13.8250000		Blue Fever gains Whispering Dawn from Eos
00:00:13.8250000		Dan Tam Attack Ramuh 4706
00:00:13.8700000		The limit break guage has been updated to 850. 3 bars are available.
00:00:13.9140000		Dan Tam prepares Jin on Dan Tam 
00:00:13.9140000		Ramuh prepares Unknown_4Bc9 on Minju Rose +18023 (CRITICAL)
00:00:13.9140000		Dan Tam gains Mudra from Dan Tam
00:00:13.9580000		Minju Rose Attack Ramuh 3824
00:00:13.9580000		Run Escape Ruin III Ramuh 25584
00:00:13.9580000		Blue Fever prepares Shot on Ramuh 7563 (CRITICAL)
00:00:14.0030000		Eos prepares Embrace on Dan Tam +4295
00:00:14.0030000		Run Escape prepares Deathflare on Ramuh 37450 (DIRECT HIT)
00:00:14.0910000		Yujin Ahn Upheaval Ramuh 30644
00:00:14.0910000		Blue Fever prepares Refulgent Arrow on Ramuh 30832 (CRITICAL)
00:00:14.0910000		Blue Fever prepares Refulgent Arrow on Ramuh 18848
00:00:14.0910000		Blue Fever prepares Refulgent Arrow on Ramuh 18633
00:00:14.1800000		Dengue Fever Glare Ramuh 22232
00:00:14.2240000		Yoo Rose prepares Enkindle Bahamut on Ramuh 
00:00:14.2690000		Minju Rose prepares Royal Authority on Ramuh 24114 (DIRECT HIT)
00:00:14.2690000		Minju Rose gains Sword Oath from Minju Rose
00:00:14.3130000		Yoo Rose Ruin IV Ramuh 34498
00:00:14.4020000		Dan Tam prepares Hyosho Ranryu on Ramuh 77509 (DIRECT HIT)
00:00:14.4470000		Yujin Ahn prepares Fell Cleave on Ramuh 38628 (CRITICAL)
00:00:14.6250000		Eos Embrace Dan Tam 4295
00:00:14.6250000		Demi-Bahamut Wyrmwave Ramuh 8037
00:00:14.7140000		Blue Fever Shot Ramuh 7563
00:00:14.7140000		Ramuh Unknown_4Bc9 Minju Rose 18023
00:00:14.8030000		Run Escape Deathflare Ramuh 37450
00:00:14.8480000		Demi-Bahamut gains Devotion from Ifrit-Egi
00:00:14.8480000		Demi-Bahamut gains The Wanderer's Minuet from Blue Fever
00:00:14.8480000		Demi-Bahamut gains Well Fed from Yoo Rose
00:00:14.8480000		Demi-Bahamut gains Battle Voice from Blue Fever
00:00:14.8480000		Demi-Bahamut gains Summon Order III from Ramuh
00:00:14.8480000		Minju Rose Royal Authority Ramuh 24114
00:00:14.8480000		Aihyooni Yoomi prepares Broil III on Ramuh 23572 (DIRECT HIT)
00:00:14.8910000		Demi-Bahamut prepares Akh Morn on Ramuh 44030 (DIRECT HIT)
00:00:14.8920000		Yoo Rose prepares Fester on Ramuh 40785 (CRITICAL)
00:00:14.9810000		Run Escape prepares Summon Bahamut on Run Escape 
00:00:15.0260000		Dan Tam Hyosho Ranryu Ramuh 77509
00:00:15.0260000		Dengue Fever prepares Glare on Ramuh 22488
00:00:15.0700000		Yujin Ahn Fell Cleave Ramuh 38628
00:00:15.0700000		Dan Tam prepares Assassinate on Ramuh 15681 (CRITICAL)
00:00:15.2040000		Yujin Ahn prepares Onslaught on Ramuh 6849 (CRITICAL)
00:00:15.3820000		Eos gains The Wanderer's Minuet from Blue Fever
00:00:15.3820000		Bunshin gains The Wanderer's Minuet from Blue Fever
00:00:15.3820000		Demi-Bahamut gains The Wanderer's Minuet from Blue Fever
00:00:15.3820000		Yoo Rose gains The Wanderer's Minuet from Blue Fever
00:00:15.3820000		Demi-Bahamut gains Devotion from Ifrit-Egi
00:00:15.3820000		Demi-Bahamut gains The Wanderer's Minuet from Blue Fever
00:00:15.3820000		Demi-Bahamut gains Battle Voice from Blue Fever
00:00:15.3820000		Demi-Bahamut gains Medicated from Run Escape
00:00:15.3820000		Minju Rose gains The Wanderer's Minuet from Blue Fever
00:00:15.3820000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:15.3820000		Yujin Ahn gains The Wanderer's Minuet from Blue Fever
00:00:15.3820000		Aihyooni Yoomi gains The Wanderer's Minuet from Blue Fever
00:00:15.3820000		Dan Tam gains The Wanderer's Minuet from Blue Fever
00:00:15.3820000		Run Escape gains The Wanderer's Minuet from Blue Fever
00:00:15.4710000		Aihyooni Yoomi prepares Ruin II on Ramuh 21663 (CRITICAL)
00:00:15.4710000		Dan Tam prepares Attack on Ramuh 6114 (CRITICAL)
00:00:15.5590000		Blue Fever Refulgent Arrow Ramuh 30832
00:00:15.6490000		Aihyooni Yoomi Broil III Ramuh 23572
00:00:15.6930000		Blue Fever Refulgent Arrow Ramuh 18848
00:00:15.6930000		Minju Rose prepares Attack on Ramuh 6002 (CRITICAL)
00:00:15.6930000		Run Escape prepares Ruin IV on Ramuh 47225 (CRITICAL)
00:00:15.6930000		Run Escape gains Further Ruin from Run Escape
00:00:15.7370000		Demi-Bahamut prepares Wyrmwave on Ramuh 11814 (DIRECT HIT)
00:00:15.7810000		Demi-Bahamut Akh Morn Ramuh 44030
00:00:15.8260000		Yoo Rose Fester Ramuh 40785
00:00:15.8260000		Blue Fever Refulgent Arrow Ramuh 18633
00:00:15.8710000		Yujin Ahn Onslaught Ramuh 6849
00:00:15.8710000		Dan Tam Assassinate Ramuh 15681
00:00:15.8710000		Yujin Ahn prepares Attack on Ramuh 8321 (CRITICAL)
00:00:15.9590000		Dan Tam prepares Ten on Dan Tam 
00:00:15.9590000		Dan Tam gains Mudra from Dan Tam
00:00:16.0030000		Dan Tam Attack Ramuh 6114
00:00:16.1370000		Aihyooni Yoomi prepares Energy Drain on Ramuh 17353 (CRITICAL)
00:00:16.2260000		Minju Rose Attack Ramuh 6002
00:00:16.3140000		Dengue Fever Glare Ramuh 22488
00:00:16.4030000		Yujin Ahn Attack Ramuh 8321
00:00:16.4030000		Aihyooni Yoomi Ruin II Ramuh 21663
00:00:16.4930000		Run Escape Ruin IV Ramuh 47225
00:00:16.4930000		Dan Tam prepares Chi on Dan Tam 
00:00:16.4930000		Run Escape prepares Enkindle Bahamut on Ramuh 
00:00:16.4930000		Dan Tam gains Mudra from Dan Tam
00:00:16.5810000		Blue Fever prepares Burst Shot on Ramuh 26559 (CRITICAL)
00:00:16.6710000		Minju Rose prepares Atonement on Ramuh 18787
00:00:16.6710000		Minju Rose gains Sword Oath from Minju Rose
00:00:16.7600000		Demi-Bahamut Wyrmwave Ramuh 11814
00:00:16.8040000		Yujin Ahn prepares Fell Cleave on Ramuh 38827 (CRITICAL)
00:00:16.8490000		Aihyooni Yoomi gains Dissipation from Aihyooni Yoomi
00:00:16.8490000		Aihyooni Yoomi gains Aetherflow from Aihyooni Yoomi
00:00:16.8490000		Aihyooni Yoomi prepares Dissipation on Aihyooni Yoomi 
00:00:16.8490000		The limit break guage has been updated to 1020. 3 bars are available.
00:00:16.9370000		Ramuh prepares Unknown_4Bc9 on Minju Rose 20857
00:00:16.9820000		Dan Tam prepares Raiton on Ramuh 49680 (CRITICAL)
00:00:17.0270000		Blue Fever prepares Shot on Ramuh 7004 (CRITICAL)
00:00:17.1150000		Demi-Bahamut gains Summon Order III from Ramuh
00:00:17.1150000		Dengue Fever prepares Medica II on Dengue Fever +14318 (CRITICAL)
00:00:17.1150000		Dengue Fever prepares Medica II on Yujin Ahn +9281
00:00:17.1150000		Dengue Fever prepares Medica II on Dan Tam +8967
00:00:17.1150000		Dengue Fever prepares Medica II on Aihyooni Yoomi +8872
00:00:17.1150000		Dengue Fever prepares Medica II on Yoo Rose +14219 (CRITICAL)
00:00:17.1150000		Dengue Fever prepares Medica II on Minju Rose +14104 (CRITICAL)
00:00:17.1150000		Dengue Fever prepares Medica II on Run Escape +9054
00:00:17.1150000		Dengue Fever prepares Medica II on Blue Fever +8953
00:00:17.1590000		Aihyooni Yoomi Energy Drain Ramuh 17353
00:00:17.1590000		Demi-Bahamut prepares Akh Morn on Ramuh 38956
00:00:17.2930000		Run Escape prepares Tri-Disaster on Ramuh 22822
00:00:17.2930000		Ramuh gains Bio III from Run Escape
00:00:17.2930000		Ramuh gains Miasma III from Run Escape
00:00:17.4270000		Yujin Ahn Fell Cleave Ramuh 38827
00:00:17.6040000		Blue Fever prepares Bloodletter on Ramuh 12353 (CRITICAL)
00:00:17.6490000		Dan Tam prepares Attack on Ramuh 7165 (CRITICAL)
00:00:17.6930000		Dan Tam Raiton Ramuh 49680
00:00:17.6930000		Dan Tam prepares Ten Chi Jin on Dan Tam 1186 (DIRECT HIT)
00:00:17.6930000		Dan Tam gains Ten Chi Jin from Dan Tam
00:00:17.7370000		Ramuh Unknown_4Bc9 Minju Rose 20857
00:00:17.7820000		Blue Fever Shot Ramuh 7004
00:00:17.8260000		Yoo Rose prepares Ruin III on Ramuh 26599 (CRITICAL)
00:00:17.8700000		Demi-Bahamut prepares Wyrmwave on Ramuh 12239 (CRITICAL)
00:00:17.9150000		Aihyooni Yoomi prepares Ruin II on Ramuh 21568 (CRITICAL)
00:00:17.9590000		Minju Rose Atonement Ramuh 18787
00:00:17.9590000		Dengue Fever Medica II Dengue Fever 14318
00:00:17.9590000		Dengue Fever gains Medica II from Dengue Fever
00:00:17.9590000		Minju Rose prepares Attack on Ramuh 2997
00:00:18.0480000		Blue Fever Burst Shot Ramuh 26559
00:00:18.0480000		Demi-Bahamut Akh Morn Ramuh 38956
00:00:18.0920000		Dengue Fever Medica II Yujin Ahn 9281
00:00:18.0920000		Yujin Ahn gains Medica II from Dengue Fever
00:00:18.0920000		Run Escape Tri-Disaster Ramuh 22822
00:00:18.1820000		Dan Tam Attack Ramuh 7165
00:00:18.1820000		Run Escape prepares Ruin IV on Ramuh 44869 (CRITICAL)
00:00:18.1820000		Run Escape gains Further Ruin from Run Escape
00:00:18.2260000		Dengue Fever Medica II Dan Tam 8967
00:00:18.2260000		Dan Tam gains Medica II from Dengue Fever
00:00:18.3600000		Dengue Fever Medica II Aihyooni Yoomi 8872
00:00:18.3600000		Aihyooni Yoomi gains Medica II from Dengue Fever
00:00:18.3600000		Bunshin gains The Wanderer's Minuet from Blue Fever
00:00:18.3600000		Demi-Bahamut gains The Wanderer's Minuet from Blue Fever
00:00:18.3600000		Yoo Rose gains The Wanderer's Minuet from Blue Fever
00:00:18.3600000		Demi-Bahamut gains The Wanderer's Minuet from Blue Fever
00:00:18.3600000		Minju Rose gains The Wanderer's Minuet from Blue Fever
00:00:18.3600000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:18.3600000		Yujin Ahn gains The Wanderer's Minuet from Blue Fever
00:00:18.3600000		Aihyooni Yoomi gains The Wanderer's Minuet from Blue Fever
00:00:18.3600000		Dan Tam gains The Wanderer's Minuet from Blue Fever
00:00:18.3600000		Run Escape gains The Wanderer's Minuet from Blue Fever
00:00:18.4920000		Minju Rose Attack Ramuh 2997
00:00:18.4930000		Dengue Fever Medica II Yoo Rose 14219
00:00:18.4930000		Yoo Rose gains Medica II from Dengue Fever
00:00:18.4930000		Dan Tam prepares Fuma Shuriken on Ramuh 30399 (CRITICAL)
00:00:18.4930000		Dan Tam gains Ten Chi Jin from Dan Tam
00:00:18.6270000		Yoo Rose Ruin III Ramuh 26599
00:00:18.6270000		Dengue Fever Medica II Minju Rose 14104
00:00:18.6270000		Minju Rose gains Medica II from Dengue Fever
00:00:18.7600000		Dengue Fever Medica II Run Escape 9054
00:00:18.7600000		Run Escape gains Medica II from Dengue Fever
00:00:18.8480000		Aihyooni Yoomi Ruin II Ramuh 21568
00:00:18.8930000		Dengue Fever Medica II Blue Fever 8953
00:00:18.8930000		Blue Fever gains Medica II from Dengue Fever
00:00:18.9370000		Demi-Bahamut Wyrmwave Ramuh 12239
00:00:18.9820000		Run Escape Ruin IV Ramuh 44869
00:00:19.0260000		Minju Rose prepares Atonement on Ramuh 30479 (CRITICAL)
00:00:19.0260000		Run Escape prepares Fester on Ramuh 28800 (DIRECT HIT)
00:00:19.0260000		Minju Rose gains Sword Oath from Minju Rose
00:00:19.0710000		Blue Fever prepares Burst Shot on Ramuh 25209 (CRITICAL)
00:00:19.1590000		Yujin Ahn prepares Fell Cleave on Ramuh 37782 (CRITICAL)
00:00:19.2040000		Blue Fever Bloodletter Ramuh 12353
00:00:19.2040000		Demi-Bahamut prepares Wyrmwave on Ramuh 10640 (DIRECT HIT)
00:00:19.2480000		Dengue Fever prepares Glare on Ramuh 20960
00:00:19.2480000		Yujin Ahn prepares Attack on Ramuh 7830 (CRITICAL)
00:00:19.2920000		Aihyooni Yoomi gains Aetherflow from Aihyooni Yoomi
00:00:19.2920000		Aihyooni Yoomi prepares Energy Drain on Ramuh 9929
00:00:19.3810000		Dan Tam Fuma Shuriken Ramuh 30399
00:00:19.3810000		Aihyooni Yoomi gains Surge Protection from 
00:00:19.4690000		Dan Tam prepares Raiton on Ramuh 38005 (DIRECT HIT)
00:00:19.4690000		Dan Tam gains Ten Chi Jin from Dan Tam
00:00:19.7790000		Yujin Ahn Attack Ramuh 7830
00:00:19.8240000		Yujin Ahn Fell Cleave Ramuh 37782
00:00:19.8680000		The limit break guage has been updated to 1190. 3 bars are available.
00:00:19.9570000		Run Escape Fester Ramuh 28800
00:00:20.0900000		Blue Fever prepares Shot on Ramuh 5918 (DIRECT HIT)
00:00:20.1780000		Dan Tam Raiton Ramuh 38005
00:00:20.2230000		Minju Rose prepares Attack on Ramuh 4837 (CRITICAL)
00:00:20.2670000		Demi-Bahamut Wyrmwave Ramuh 10640
00:00:20.3560000		Minju Rose Atonement Ramuh 30479
00:00:20.3560000		Aihyooni Yoomi Energy Drain Ramuh 9929
00:00:20.3560000		Yoo Rose prepares Ruin III on Ramuh 26451 (CRITICAL)
00:00:20.4000000		Demi-Bahamut prepares Wyrmwave on Ramuh 16411 (CRITICAL)
00:00:20.4900000		Blue Fever prepares Pitch Perfect on Ramuh 40749 (CRITICAL)
00:00:20.4900000		Dan Tam prepares Suiton on Ramuh 23619
00:00:20.4900000		Dan Tam gains Suiton from Dan Tam
00:00:20.5330000		Blue Fever Burst Shot Ramuh 25209
00:00:20.5780000		Dengue Fever Glare Ramuh 20960
00:00:20.7550000		Minju Rose Attack Ramuh 4837
00:00:20.8440000		Blue Fever Shot Ramuh 5918
00:00:20.8890000		Dan Tam prepares Attack on Ramuh 4878 (DIRECT HIT)
00:00:21.1550000		Yoo Rose Ruin III Ramuh 26451
00:00:21.1550000		Dan Tam prepares Meisui on Dan Tam 
00:00:21.1990000		Blue Fever prepares Empyreal Arrow on Ramuh 12837
00:00:21.2880000		Blue Fever Pitch Perfect Ramuh 40749
00:00:21.3770000		Bunshin gains The Wanderer's Minuet from Blue Fever
00:00:21.3770000		Demi-Bahamut gains The Wanderer's Minuet from Blue Fever
00:00:21.3770000		Yoo Rose gains The Wanderer's Minuet from Blue Fever
00:00:21.3770000		Demi-Bahamut gains The Wanderer's Minuet from Blue Fever
00:00:21.3770000		Minju Rose gains The Wanderer's Minuet from Blue Fever
00:00:21.3770000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:21.3770000		Yujin Ahn gains The Wanderer's Minuet from Blue Fever
00:00:21.3770000		Aihyooni Yoomi gains The Wanderer's Minuet from Blue Fever
00:00:21.3770000		Dan Tam gains The Wanderer's Minuet from Blue Fever
00:00:21.3770000		Run Escape gains The Wanderer's Minuet from Blue Fever
00:00:21.4210000		Dan Tam Attack Ramuh 4878
00:00:21.4210000		Minju Rose prepares Atonement on Ramuh 19845
00:00:21.4650000		Demi-Bahamut Wyrmwave Ramuh 16411
00:00:21.4650000		Dan Tam Suiton Ramuh 23619
00:00:21.5540000		Yujin Ahn prepares Fell Cleave on Ramuh 36249 (CRITICAL)
00:00:21.8640000		Blue Fever prepares Iron Jaws on Ramuh 4774
00:00:21.8640000		Dengue Fever prepares Glare on Ramuh 24888 (DIRECT HIT)
00:00:21.9970000		Dan Tam prepares Gust Slash on Ramuh 13629
00:00:21.9970000		Dan Tam gains Bunshin from Dan Tam
00:00:22.0860000		Bunshin prepares Gust Slash on Ramuh 11824 (CRITICAL)
00:00:22.0860000		Ramuh prepares Stratospear Summons on Ramuh 19365
00:00:22.2190000		Yujin Ahn Fell Cleave Ramuh 36249
00:00:22.2640000		Blue Fever Empyreal Arrow Ramuh 12837
00:00:22.3520000		Aihyooni Yoomi prepares Broil III on Ramuh 18511
00:00:22.3960000		Dan Tam Gust Slash Ramuh 13629
00:00:22.4850000		Bunshin Gust Slash Ramuh 11824
00:00:22.4850000		Minju Rose prepares Attack on Ramuh 3686 (DIRECT HIT)
00:00:22.5290000		Blue Fever Iron Jaws Ramuh 4774
00:00:22.5290000		Ramuh gains Stormbite from Blue Fever
00:00:22.5290000		Ramuh gains Caustic Bite from Blue Fever
00:00:22.6180000		Yujin Ahn prepares Attack on Ramuh 6621 (CRITICAL)
00:00:22.6620000		Dan Tam prepares Bhavacakra on Ramuh 14992 (DIRECT HIT)
00:00:22.7060000		Run Escape prepares Ruin III on Ramuh 19488 (DIRECT HIT)
00:00:22.7500000		Minju Rose Atonement Ramuh 19845
00:00:22.7500000		Demi-Bahamut prepares Wyrmwave on Ramuh 17187 (CRITICAL)
00:00:22.8830000		The limit break guage has been updated to 1360. 3 bars are available.
00:00:22.9270000		Yoo Rose prepares Ruin III on Ramuh 12779
00:00:22.9720000		Demi-Bahamut prepares Wyrmwave on Ramuh 10022 (DIRECT HIT)
00:00:22.9720000		Aihyooni Yoomi prepares Ruin II on Ramuh 13605
00:00:23.0160000		Minju Rose Attack Ramuh 3686
00:00:23.0160000		Yujin Ahn prepares Infuriate on Yujin Ahn 
00:00:23.0160000		Yujin Ahn gains Nascent Chaos from Yujin Ahn
00:00:23.1040000		Dan Tam prepares Attack on Ramuh 4642 (DIRECT HIT)
00:00:23.1490000		Yujin Ahn Attack Ramuh 6621
00:00:23.1490000		Aihyooni Yoomi Broil III Ramuh 18511
00:00:23.1490000		Blue Fever prepares Shot on Ramuh 4374
00:00:23.1930000		Dengue Fever Glare Ramuh 24888
00:00:23.3260000		Dan Tam Bhavacakra Ramuh 14992
00:00:23.5030000		Run Escape Ruin III Ramuh 19488
00:00:23.5480000		Yoo Rose prepares Ruin IV on Ramuh 37611 (CRITICAL)
00:00:23.5480000		Yoo Rose gains Further Ruin from Yoo Rose
00:00:23.6360000		Dan Tam Attack Ramuh 4642
00:00:23.7250000		Yoo Rose Ruin III Ramuh 12779
00:00:23.7250000		Aihyooni Yoomi gains Aetherflow from Aihyooni Yoomi
00:00:23.7250000		Aihyooni Yoomi prepares Energy Drain on Ramuh 9655
00:00:23.8140000		Demi-Bahamut Wyrmwave Ramuh 17187
00:00:23.8140000		Minju Rose prepares Fast Blade on Ramuh 11373 (CRITICAL)
00:00:23.9030000		Blue Fever Shot Ramuh 4374
00:00:23.9030000		Aihyooni Yoomi Ruin II Ramuh 13605
00:00:23.9030000		Yujin Ahn prepares Inner Chaos on Ramuh 60769 (CRITICAL)
00:00:23.9910000		Ramuh prepares Unknown_4Bc9 on Minju Rose 27524
00:00:24.0350000		Demi-Bahamut Wyrmwave Ramuh 10022
00:00:24.0800000		Dan Tam prepares Aeolian Edge on Ramuh 18797
00:00:24.1680000		Bunshin prepares Aeolian Edge on Ramuh 9489 (DIRECT HIT)
00:00:24.2130000		Yoo Rose prepares Enkindle Bahamut on Ramuh 
00:00:24.3460000		Yoo Rose Ruin IV Ramuh 37611
00:00:24.3910000		Blue Fever prepares Burst Shot on Ramuh 17422 (CRITICAL)
00:00:24.3910000		Bunshin gains The Wanderer's Minuet from Blue Fever
00:00:24.3910000		Demi-Bahamut gains The Wanderer's Minuet from Blue Fever
00:00:24.3910000		Yoo Rose gains The Wanderer's Minuet from Blue Fever
00:00:24.3910000		Demi-Bahamut gains The Wanderer's Minuet from Blue Fever
00:00:24.3910000		Minju Rose gains The Wanderer's Minuet from Blue Fever
00:00:24.3910000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:24.3910000		Yujin Ahn gains The Wanderer's Minuet from Blue Fever
00:00:24.3910000		Aihyooni Yoomi gains The Wanderer's Minuet from Blue Fever
00:00:24.3910000		Dan Tam gains The Wanderer's Minuet from Blue Fever
00:00:24.3910000		Run Escape gains The Wanderer's Minuet from Blue Fever
00:00:24.4350000		Minju Rose Fast Blade Ramuh 11373
00:00:24.4800000		Demi-Bahamut prepares Wyrmwave on Ramuh 10026 (DIRECT HIT)
00:00:24.4800000		Dengue Fever prepares Glare on Ramuh 26555 (DIRECT HIT)
00:00:24.6130000		Dan Tam Aeolian Edge Ramuh 18797
00:00:24.7020000		Bunshin Aeolian Edge Ramuh 9489
00:00:24.7460000		Minju Rose prepares Attack on Ramuh 2872
00:00:24.7910000		Aihyooni Yoomi Energy Drain Ramuh 9655
00:00:24.7910000		Ramuh Unknown_4Bc9 Minju Rose 27524
00:00:24.7910000		Dan Tam prepares Bhavacakra on Ramuh 14548 (DIRECT HIT)
00:00:24.8350000		Demi-Bahamut gains Summon Order III from Ramuh
00:00:24.8350000		Yujin Ahn Inner Chaos Ramuh 60769
00:00:25.0560000		Demi-Bahamut prepares Akh Morn on Ramuh 55974 (CRITICAL)
00:00:25.2780000		Minju Rose Attack Ramuh 2872
00:00:25.3320000		Dan Tam prepares Attack on Ramuh 4521 (DIRECT HIT)
00:00:25.3320000		Run Escape prepares Ruin III on Ramuh 14756
00:00:25.3670000		Demi-Bahamut prepares Wyrmwave on Ramuh 8611
00:00:25.4120000		Dan Tam Bhavacakra Ramuh 14548
00:00:25.5450000		Demi-Bahamut Wyrmwave Ramuh 10026
00:00:25.7690000		Dengue Fever Glare Ramuh 26555
00:00:25.8570000		Blue Fever Burst Shot Ramuh 17422
00:00:25.8570000		Dan Tam Attack Ramuh 4521
00:00:25.8570000		The limit break guage has been updated to 1530. 3 bars are available.
00:00:25.9460000		Demi-Bahamut Akh Morn Ramuh 55974
00:00:25.9460000		Run Escape prepares Ruin IV on Ramuh 42177 (CRITICAL)
00:00:25.9460000		Run Escape gains Further Ruin from Run Escape
00:00:25.9900000		Yujin Ahn prepares Attack on Ramuh 3815
00:00:26.1240000		Run Escape Ruin III Ramuh 14756
00:00:26.1690000		Dan Tam prepares Spinning Edge on Ramuh 8419
00:00:26.2130000		Blue Fever prepares Shot on Ramuh 4188
00:00:26.2130000		Minju Rose prepares Riot Blade on Ramuh 12727 (DIRECT HIT)
00:00:26.2580000		Yujin Ahn prepares Heavy Swing on Ramuh 7249 (DIRECT HIT)
00:00:26.3920000		Demi-Bahamut Wyrmwave Ramuh 8611
00:00:26.5260000		Yujin Ahn Attack Ramuh 3815
00:00:26.5710000		Dan Tam Spinning Edge Ramuh 8419
00:00:26.7040000		Run Escape prepares Enkindle Bahamut on Ramuh 
00:00:26.7480000		Run Escape Ruin IV Ramuh 42177
00:00:26.7930000		Yujin Ahn Heavy Swing Ramuh 7249
00:00:26.8380000		Blue Fever prepares Burst Shot on Ramuh 11249
00:00:26.8810000		Demi-Bahamut prepares Wyrmwave on Ramuh 8836
00:00:26.9710000		Blue Fever Shot Ramuh 4188
00:00:26.9710000		Minju Rose Riot Blade Ramuh 12727
00:00:27.0160000		Ramuh prepares Impact on  
00:00:27.0160000		Ramuh prepares Impact on  
00:00:27.0160000		Ramuh prepares Impact on  
00:00:27.0160000		Ramuh prepares Impact on  
00:00:27.0160000		Minju Rose prepares Attack on Ramuh 4606 (CRITICAL)
00:00:27.0160000		Ramuh prepares Unknown_4Bc9 on Minju Rose 27647
00:00:27.1040000		Dengue Fever prepares Glare on Ramuh 20444
00:00:27.3260000		Demi-Bahamut gains Summon Order III from Ramuh
00:00:27.3710000		Aihyooni Yoomi prepares Broil III on Ramuh 18028
00:00:27.3710000		Demi-Bahamut gains The Wanderer's Minuet from Blue Fever
00:00:27.3710000		Yoo Rose gains The Wanderer's Minuet from Blue Fever
00:00:27.3710000		Demi-Bahamut gains The Wanderer's Minuet from Blue Fever
00:00:27.3710000		Minju Rose gains The Wanderer's Minuet from Blue Fever
00:00:27.3710000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:00:27.3710000		Yujin Ahn gains The Wanderer's Minuet from Blue Fever
00:00:27.3710000		Aihyooni Yoomi gains The Wanderer's Minuet from Blue Fever
00:00:27.3710000		Dan Tam gains The Wanderer's Minuet from Blue Fever
