-00:00:01.8170000		Run Escape casts Ruin III on Ramuh
00:01:58.3120000		Eos prepares Embrace on Minju Rose +4272
00:01:58.3120000		Dan Tam prepares Aeolian Edge on Ramuh 23249 (DIRECT HIT)
00:01:58.4010000		Minju Rose Attack Ramuh 2371
00:01:58.4010000		Will Of Ramuh gains Unknown_808 from 
00:01:58.4450000		Minju Rose Atonement Ramuh 24423
00:01:58.4450000		Stormcloud Lightning Bolt  0
00:01:58.4450000		Stormcloud Lightning Bolt  0
00:01:58.5790000		Minju Rose gains The Wanderer's Minuet from Blue Fever
00:01:58.5790000		Eos gains The Wanderer's Minuet from Blue Fever
00:01:58.5790000		Ruby Carbuncle gains The Wanderer's Minuet from Blue Fever
00:01:58.5790000		Ifrit-Egi gains The Wanderer's Minuet from Blue Fever
00:01:58.5790000		Dan Tam gains The Wanderer's Minuet from Blue Fever
00:01:58.5790000		Yoo Rose gains The Wanderer's Minuet from Blue Fever
00:01:58.5790000		Dengue Fever gains The Wanderer's Minuet from Blue Fever
00:01:58.5790000		Yujin Ahn gains The Wanderer's Minuet from Blue Fever
00:01:58.5790000		Aihyooni Yoomi gains The Wanderer's Minuet from Blue Fever
00:01:58.5790000		Run Escape gains The Wanderer's Minuet from Blue Fever
00:01:58.6670000		Dan Tam Attack Ramuh 6930
00:01:58.6670000		Yoo Rose prepares Assault I: Crimson Cyclone on Ramuh +239 (CRITICAL)
00:01:58.8440000		Dan Tam Aeolian Edge Ramuh 23249
00:01:58.9330000		Eos Embrace Minju Rose 4272
00:01:59.0230000		Ruby Carbuncle Burning Strike Ramuh 5096
00:01:59.0680000		Blue Fever Refulgent Arrow Ramuh 15463
00:01:59.0680000		Dengue Fever prepares Glare on Ramuh 20288
00:01:59.1120000		Yujin Ahn prepares Attack on Ramuh 4016
00:01:59.1560000		Run Escape prepares Ruin IV on Ramuh 24041 (DIRECT HIT)
00:01:59.1560000		Run Escape gains Further Ruin from Run Escape
00:01:59.2440000		Ramuh prepares Unknown_4Bc9 on Minju Rose 26892
00:01:59.2890000		Yujin Ahn prepares Maim on Ramuh 9438
00:01:59.3340000		Ruby Carbuncle gains Summon Order from Ramuh
00:01:59.3790000		Ruby Carbuncle prepares Crimson Cyclone on Ramuh 15912 (DIRECT HIT)
00:01:59.3790000		Yoo Rose prepares Fester on Ramuh 39152 (CRITICAL)
00:01:59.4680000		Blue Fever prepares Shot on Ramuh 6490 (CRITICAL)
00:01:59.4680000		Minju Rose prepares Atonement on Ramuh 14755
00:01:59.4680000		Minju Rose gains Sword Oath from Minju Rose
00:01:59.6450000		Yujin Ahn Attack Ramuh 4016
00:01:59.9130000		Yujin Ahn Maim Ramuh 9438
00:01:59.9570000		Run Escape Ruin IV Ramuh 24041
00:02:00.0020000		Ruby Carbuncle Crimson Cyclone Ramuh 15912
00:02:00.0020000		Yoo Rose gains Further Ruin from Yoo Rose
00:02:00.0470000		Ramuh Unknown_4Bc9 Minju Rose 26892
00:02:00.0470000		Run Escape gains Surge Protection from 
00:02:00.1360000		Minju Rose prepares Attack on Ramuh 3576 (CRITICAL)
00:02:00.2260000		Blue Fever Shot Ramuh 6490
00:02:00.2260000		Ifrit-Egi prepares Burning Strike on Ramuh 5363 (DIRECT HIT)
00:02:00.2260000		Yujin Ahn prepares Onslaught on Ramuh 4994 (CRITICAL)
00:02:00.3150000		Yoo Rose Fester Ramuh 39152
00:02:00.3150000		Dan Tam prepares Attack on Ramuh 3571
00:02:00.3580000		Dengue Fever Glare Ramuh 20288
00:02:00.4470000		Dan Tam prepares Spinning Edge on Ramuh 15819 (CRITICAL)
00:02:00.4910000		Aihyooni Yoomi prepares Broil III on Ramuh 28162 (CRITICAL)
00:02:00.6680000		Minju Rose Attack Ramuh 3576
00:02:00.7560000		Minju Rose Atonement Ramuh 14755
00:02:00.7560000		Stormcloud Lightning Bolt  0
00:02:00.8460000		Dan Tam Attack Ramuh 3571
00:02:00.8460000		Dan Tam Spinning Edge Ramuh 15819
00:02:00.8460000		The limit break guage has been updated to 6970. 3 bars are available.
00:02:00.8900000		Yujin Ahn Onslaught Ramuh 4994
00:02:01.0230000		Ifrit-Egi Burning Strike Ramuh 5363
00:02:01.1110000		Yoo Rose prepares Assault Ii: Flaming Crush on Ramuh +239 (CRITICAL)
00:02:01.2880000		Aihyooni Yoomi Broil III Ramuh 28162
00:02:01.5560000		Ruby Carbuncle prepares Burning Strike on Ramuh 6069 (CRITICAL)
00:02:01.5560000		Blue Fever gains Surge Protection from 
00:02:01.5560000		Dengue Fever prepares Regen on Minju Rose +158 (CRITICAL)
00:02:01.6460000		Yujin Ahn prepares Storm's Path on Ramuh 12050
00:02:01.6460000		Run Escape prepares Ruin IV on Ramuh 18895
00:02:01.6460000		Run Escape gains Further Ruin from Run Escape
00:02:01.6890000		Eos prepares Embrace on Minju Rose +6946 (CRITICAL)
00:02:01.7800000		Ruby Carbuncle gains Summon Order II from Ruby Carbuncle
00:02:01.9570000		Minju Rose prepares Atonement on Ramuh 15202
00:02:02.1340000		Ruby Carbuncle prepares Flaming Crush on Ramuh 15968 (DIRECT HIT)
00:02:02.2660000		Ramuh prepares Unknown_4Bc9 on Minju Rose +21983 (CRITICAL)
00:02:02.3100000		Eos Embrace Minju Rose 6946
00:02:02.3560000		Ruby Carbuncle Burning Strike Ramuh 6069
00:02:02.4010000		Minju Rose prepares Attack on Ramuh 3616 (CRITICAL)
00:02:02.4460000		Run Escape Ruin IV Ramuh 18895
00:02:02.4900000		Yujin Ahn prepares Attack on Ramuh 3830
00:02:02.5350000		Blue Fever prepares Shot on Ramuh 3853
00:02:02.5350000		Dan Tam prepares Gust Slash on Ramuh 19684 (CRITICAL)
00:02:02.5350000		Dan Tam prepares Attack on Ramuh 4593 (DIRECT HIT)
00:02:02.5790000		Stormcloud Lightning Bolt  0
00:02:02.5790000		Minju Rose gains Regen from Dengue Fever
00:02:02.5790000		Dengue Fever prepares Divine Benison on Minju Rose 
00:02:02.9360000		Minju Rose Attack Ramuh 3616
00:02:02.9360000		Dan Tam Gust Slash Ramuh 19684
00:02:02.9800000		Aihyooni Yoomi prepares Broil III on Ramuh 29894 (CRITICAL)
00:02:03.0240000		Yujin Ahn Attack Ramuh 3830
00:02:03.0680000		Dan Tam Attack Ramuh 4593
00:02:03.0680000		Ramuh Unknown_4Bc9 Minju Rose 21983
00:02:03.1570000		Yujin Ahn Storm's Path Ramuh 12050
00:02:03.2010000		Blue Fever prepares Burst Shot on Ramuh 17118 (CRITICAL)
00:02:03.2010000		Dan Tam prepares Kassatsu on Dan Tam 
00:02:03.2010000		Blue Fever gains Straight Shot Ready from Blue Fever
00:02:03.2010000		Dan Tam gains Kassatsu from Dan Tam
00:02:03.2450000		Minju Rose Atonement Ramuh 15202
00:02:03.2450000		Stormcloud Lightning Bolt  0
00:02:03.2900000		Blue Fever Shot Ramuh 3853
00:02:03.2900000		Ruby Carbuncle Flaming Crush Ramuh 15968
00:02:03.2900000		Yoo Rose gains Further Ruin from Yoo Rose
00:02:03.3780000		Minju Rose gains Divine Benison from Dengue Fever
00:02:03.4660000		Ifrit-Egi prepares Burning Strike on Ramuh 6306 (CRITICAL)
00:02:03.5570000		Yoo Rose prepares Ruin III on Ramuh 19310 (CRITICAL)
00:02:03.7800000		Aihyooni Yoomi Broil III Ramuh 29894
00:02:03.8250000		The limit break guage has been updated to 7140. 3 bars are available.
00:02:03.8680000		Dan Tam prepares Bhavacakra on Ramuh 14784 (DIRECT HIT)
00:02:04.0020000		Yujin Ahn prepares Heavy Swing on Ramuh 6062
00:02:04.1360000		Blue Fever prepares Bloodletter on Ramuh 6820
00:02:04.1360000		Run Escape prepares Assault I: Crimson Cyclone on Ramuh +239 (CRITICAL)
00:02:04.2680000		Ifrit-Egi Burning Strike Ramuh 6306
00:02:04.3590000		Yoo Rose Ruin III Ramuh 19310
00:02:04.3590000		Minju Rose prepares Fast Blade on Ramuh 5113
00:02:04.3590000		Yoo Rose prepares Enkindle: Inferno on Ramuh +239 (CRITICAL)
00:02:04.4920000		Dan Tam Bhavacakra Ramuh 14784
00:02:04.5360000		Yujin Ahn Heavy Swing Ramuh 6062
00:02:04.6240000		Dan Tam prepares Armor Crush on Ramuh 22687 (DIRECT HIT)
00:02:04.6690000		Blue Fever Burst Shot Ramuh 17118
00:02:04.6690000		Minju Rose prepares Attack on Ramuh 2296
00:02:04.7130000		Dan Tam prepares Attack on Ramuh 7103 (CRITICAL)
00:02:04.8010000		Ifrit-Egi gains Summon Order from Ramuh
00:02:04.8460000		Ruby Carbuncle prepares Burning Strike on Ramuh 8134 (CRITICAL)
00:02:04.8460000		Ifrit-Egi prepares Crimson Cyclone on Ramuh 12854
00:02:04.9350000		Run Escape prepares Dreadwyrm Trance on Run Escape 
00:02:04.9790000		Minju Rose Fast Blade Ramuh 5113
00:02:05.0230000		Ruby Carbuncle gains Summon Order III from Ramuh
00:02:05.0230000		Yoo Rose prepares Deathflare on Ramuh 31511 (DIRECT HIT)
00:02:05.0670000		Eos prepares Embrace on Minju Rose +6828 (CRITICAL)
00:02:05.1570000		Minju Rose prepares Fight Or Flight on Minju Rose 
00:02:05.2010000		Minju Rose Attack Ramuh 2296
00:02:05.2460000		Dan Tam Attack Ramuh 7103
00:02:05.2900000		Dan Tam Armor Crush Ramuh 22687
00:02:05.2900000		Dan Tam prepares Mug on Ramuh 5771
00:02:05.2900000		Ramuh prepares Unknown_4Bc9 on Minju Rose +0 (CRITICAL)
00:02:05.4230000		Ruby Carbuncle prepares Inferno on Ramuh 15412
00:02:05.4680000		Ifrit-Egi Crimson Cyclone Ramuh 12854
00:02:05.4680000		Run Escape gains Further Ruin from Run Escape
00:02:05.5560000		Aihyooni Yoomi prepares Broil III on Ramuh 17051
00:02:05.6000000		Blue Fever prepares Shot on Ramuh 4862 (DIRECT HIT)
00:02:05.6450000		Ruby Carbuncle Burning Strike Ramuh 8134
00:02:05.6450000		Blue Fever prepares Refulgent Arrow on Ramuh 30950 (CRITICAL)
00:02:05.6890000		Eos Embrace Minju Rose 6828
00:02:05.7340000		Blue Fever Bloodletter Ramuh 6820
00:02:05.8240000		Ramuh Unknown_4Bc9 Minju Rose 0
00:02:05.8240000		Minju Rose gains Fight Or Flight from Minju Rose
00:02:05.8240000		Dan Tam Mug Ramuh 5771
00:02:05.8240000		Yoo Rose Deathflare Ramuh 31511
00:02:05.8680000		Yujin Ahn prepares Attack on Ramuh 6089 (CRITICAL)
00:02:05.9580000		Dan Tam prepares Bhavacakra on Ramuh 17806 (CRITICAL)
00:02:06.0920000		Will Of Ramuh prepares Deadly Discharge on Will Of Ramuh 
00:02:06.1810000		Aihyooni Yoomi prepares Biolysis on Ramuh 
00:02:06.3590000		Blue Fever Shot Ramuh 4862
00:02:06.3590000		Ruby Carbuncle Inferno Ramuh 15412
00:02:06.3590000		Ramuh gains Inferno from Ruby Carbuncle
00:02:06.3590000		Aihyooni Yoomi Broil III Ramuh 17051
00:02:06.3600000		Dengue Fever prepares Glare on Ramuh 19039
00:02:06.3600000		Yujin Ahn prepares Maim on Ramuh 8719
00:02:06.4030000		Yujin Ahn Attack Ramuh 6089
00:02:06.5830000		Dan Tam Bhavacakra Ramuh 17806
00:02:06.6290000		Will Of Ramuh prepares Deadly Discharge on Dengue Fever 40715
00:02:06.6290000		Will Of Ramuh prepares Deadly Discharge on Minju Rose +20474 (CRITICAL)
00:02:06.6290000		Will Of Ramuh prepares Deadly Discharge on Aihyooni Yoomi 55139
00:02:06.6290000		Will Of Ramuh prepares Deadly Discharge on Blue Fever 45044
00:02:06.6290000		Will Of Ramuh prepares Deadly Discharge on Yoo Rose 55157
00:02:06.6290000		Will Of Ramuh prepares Deadly Discharge on Yujin Ahn 28180
00:02:06.6290000		Will Of Ramuh prepares Deadly Discharge on Run Escape 40319
00:02:06.6290000		Will Of Ramuh prepares Deadly Discharge on Dan Tam 55304
00:02:06.6730000		Blue Fever prepares Empyreal Arrow on Ramuh 17729 (CRITICAL)
00:02:06.6730000		Run Escape prepares Assault Ii: Flaming Crush on Ramuh +239 (CRITICAL)
00:02:06.7180000		Dan Tam prepares Spinning Edge on Ramuh 16761 (CRITICAL)
00:02:06.7620000		Minju Rose prepares Riot Blade on Ramuh 16711 (CRITICAL)
00:02:06.8060000		Ramuh gains Biolysis from Aihyooni Yoomi
00:02:06.8510000		Aihyooni Yoomi gains Vulnerability Up from Will Of Ramuh
00:02:06.8510000		Aihyooni Yoomi gains Aetherflow from Aihyooni Yoomi
00:02:06.8510000		Aihyooni Yoomi prepares Aetherflow on Aihyooni Yoomi 1000
00:02:06.8510000		The limit break guage has been updated to 7310. 3 bars are available.
00:02:06.8950000		Dan Tam prepares Attack on Ramuh 4466 (DIRECT HIT)
00:02:06.9390000		Minju Rose prepares Attack on Ramuh 2778
00:02:06.9840000		Yujin Ahn Maim Ramuh 8719
00:02:07.0280000		Ifrit-Egi prepares Burning Strike on Ramuh 8574 (CRITICAL)
00:02:07.1180000		Blue Fever Refulgent Arrow Ramuh 30950
00:02:07.1180000		Dan Tam Spinning Edge Ramuh 16761
00:02:07.1620000		Will Of Ramuh Deadly Discharge Dengue Fever 40715
00:02:07.1620000		Dengue Fever gains Surge Protection from 
00:02:07.2060000		Will Of Ramuh Deadly Discharge Minju Rose 20474
00:02:07.2500000		Will Of Ramuh Deadly Discharge Aihyooni Yoomi 55139
00:02:07.2940000		Will Of Ramuh Deadly Discharge Blue Fever 45044
00:02:07.2940000		Ifrit-Egi gains Summon Order II from Ifrit-Egi
00:02:07.3390000		Will Of Ramuh Deadly Discharge Yoo Rose 55157
00:02:07.3390000		Yoo Rose gains Vulnerability Up from Will Of Ramuh
00:02:07.3840000		Will Of Ramuh Deadly Discharge Yujin Ahn 28180
00:02:07.3840000		Yujin Ahn gains Surge Protection from 
00:02:07.4290000		Dan Tam Attack Ramuh 4466
00:02:07.4290000		Will Of Ramuh Deadly Discharge Run Escape 40319
00:02:07.4290000		Run Escape gains Aetherflow from Run Escape
00:02:07.4290000		Run Escape prepares Energy Drain on Ramuh 12842 (CRITICAL)
00:02:07.4730000		Minju Rose Attack Ramuh 2778
00:02:07.4730000		Will Of Ramuh Deadly Discharge Dan Tam 55304
00:02:07.4730000		Dan Tam gains Vulnerability Up from Will Of Ramuh
00:02:07.5170000		Minju Rose Riot Blade Ramuh 16711
00:02:07.6070000		Ifrit-Egi prepares Flaming Crush on Ramuh 13210
00:02:07.6510000		Dengue Fever Glare Ramuh 19039
00:02:07.6950000		Blue Fever Empyreal Arrow Ramuh 17729
00:02:07.8300000		Ifrit-Egi Burning Strike Ramuh 8574
00:02:08.1410000		Ruby Carbuncle prepares Burning Strike on Ramuh 5256 (DIRECT HIT)
00:02:08.4540000		Run Escape Energy Drain Ramuh 12842
00:02:08.6320000		Will Of Ixion prepares Gallop on Will Of Ixion 19379
00:02:08.6320000		Will Of Ixion prepares Gallop on Will Of Ixion 19379
00:02:08.6320000		Will Of Ixion prepares Gallop on Will Of Ixion 19379
00:02:08.6320000		Will Of Ixion prepares Gallop on Will Of Ixion 19379
00:02:08.6760000		Blue Fever prepares Shot on Ramuh 3944
00:02:08.7650000		Ifrit-Egi Flaming Crush Ramuh 13210
00:02:08.7650000		Run Escape gains Further Ruin from Run Escape
00:02:08.9420000		Ruby Carbuncle Burning Strike Ramuh 5256
00:02:09.0310000		Aihyooni Yoomi prepares Ruin II on Ramuh 19958 (CRITICAL)
00:02:09.1650000		Will Of Ixion prepares Gallop on  
00:02:09.1650000		Will Of Ixion prepares Gallop on  
00:02:09.1650000		Will Of Ixion prepares Gallop on  
00:02:09.1650000		Will Of Ixion prepares Gallop on  
00:02:09.2100000		Minju Rose prepares Attack on Ramuh 4550 (CRITICAL)
00:02:09.2540000		Blue Fever prepares Iron Jaws on Ramuh 7123 (CRITICAL)
00:02:09.2540000		Yujin Ahn prepares Attack on Ramuh 3518
00:02:09.2540000		Blue Fever gains Straight Shot Ready from Blue Fever
00:02:09.3440000		Yoo Rose prepares Ruin IV on Ramuh 19938
00:02:09.3440000		Ramuh prepares Unknown_4Bc9 on Minju Rose 28282
00:02:09.3440000		Run Escape prepares Ruin III on Ramuh 12557
00:02:09.3440000		Yoo Rose gains Further Ruin from Yoo Rose
00:02:09.4320000		Blue Fever Shot Ramuh 3944
00:02:09.4320000		Will Of Ixion Gallop  0
00:02:09.7430000		Minju Rose Attack Ramuh 4550
00:02:09.7430000		Aihyooni Yoomi prepares Chain Stratagem on Ramuh 
00:02:09.7870000		Yujin Ahn Attack Ramuh 3518
00:02:09.7870000		Dengue Fever prepares Afflatus Rapture on Dengue Fever +13448
00:02:09.7870000		Dengue Fever prepares Afflatus Rapture on Blue Fever +21898 (CRITICAL)
00:02:09.7870000		Dengue Fever prepares Afflatus Rapture on Aihyooni Yoomi +13352
00:02:09.7870000		Dengue Fever prepares Afflatus Rapture on Yoo Rose +13362
00:02:09.7870000		Dengue Fever prepares Afflatus Rapture on Minju Rose +13780
00:02:09.7870000		Dengue Fever prepares Afflatus Rapture on Run Escape +14110
00:02:09.7870000		Dengue Fever prepares Afflatus Rapture on Yujin Ahn +13406
00:02:09.7870000		Dengue Fever prepares Afflatus Rapture on Dan Tam +13540
00:02:09.8320000		The limit break guage has been updated to 7480. 3 bars are available.
00:02:09.8760000		Blue Fever Iron Jaws Ramuh 7123
00:02:09.8760000		Ramuh gains Stormbite from Blue Fever
00:02:09.8760000		Ramuh gains Caustic Bite from Blue Fever
00:02:09.8760000		Will Of Ixion Gallop  0
00:02:09.9210000		Eos prepares Embrace on Aihyooni Yoomi +4239
00:02:09.9210000		Dan Tam gains Surge Protection from 
00:02:09.9210000		Dan Tam prepares Trick Attack on Ramuh 20977 (CRITICAL)
00:02:09.9210000		Ramuh gains Vulnerability Up from Dan Tam
00:02:09.9650000		Aihyooni Yoomi Ruin II Ramuh 19958
00:02:09.9650000		Yujin Ahn prepares Storm's Eye on Ramuh 11485
00:02:10.0990000		Dan Tam prepares Attack on Ramuh 3876
00:02:10.1430000		Yoo Rose Ruin IV Ramuh 19938
00:02:10.1430000		Ramuh Unknown_4Bc9 Minju Rose 28282
00:02:10.1430000		Minju Rose gains Excogitation from Aihyooni Yoomi
00:02:10.1430000		Will Of Ixion Gallop  0
00:02:10.1430000		Run Escape Ruin III Ramuh 12557
00:02:10.1430000		Run Escape prepares Tri-Disaster on Ramuh 21439
00:02:10.1440000		Ramuh gains Bio III from Run Escape
00:02:10.1440000		Ramuh gains Miasma III from Run Escape
00:02:10.1880000		Minju Rose prepares Goring Blade on Ramuh 16270 (DIRECT HIT)
00:02:10.2320000		Yoo Rose prepares Summon Bahamut on Yoo Rose 
00:02:10.3650000		Dengue Fever Afflatus Rapture Dengue Fever 13448
00:02:10.4990000		Dengue Fever Afflatus Rapture Blue Fever 21898
00:02:10.5430000		Eos Embrace Aihyooni Yoomi 4239
00:02:10.5430000		Will Of Ixion Gallop  0
00:02:10.5430000		Ramuh gains Chain Stratagem from Aihyooni Yoomi
00:02:10.5430000		Blue Fever prepares Sidewinder on Ramuh 19333 (DIRECT HIT)
00:02:10.6320000		Dan Tam Attack Ramuh 3876
00:02:10.6320000		Dengue Fever Afflatus Rapture Aihyooni Yoomi 13352
00:02:10.6760000		Dan Tam prepares Shadow Fang on Ramuh 12752 (CRITICAL)
00:02:10.7200000		Minju Rose Goring Blade Ramuh 16270
00:02:10.7200000		Ramuh gains Goring Blade from Minju Rose
00:02:10.7210000		Dan Tam Trick Attack Ramuh 20977
00:02:10.7640000		Dengue Fever Afflatus Rapture Yoo Rose 13362
00:02:10.9430000		Run Escape Tri-Disaster Ramuh 21439
00:02:10.9430000		Yoo Rose prepares Enkindle Bahamut on Ramuh 
00:02:10.9870000		Minju Rose prepares Circle Of Scorn on Ramuh 4237
00:02:10.9870000		Run Escape gains Aetherflow from Run Escape
00:02:10.9870000		Run Escape prepares Fester on Ramuh 41098 (CRITICAL)
00:02:11.0320000		Dengue Fever Afflatus Rapture Run Escape 14110
00:02:11.0320000		Ifrit-Egi prepares Burning Strike on Ramuh 8817 (CRITICAL)
00:02:11.0760000		Blue Fever Sidewinder Ramuh 19333
00:02:11.1660000		Dengue Fever Afflatus Rapture Yujin Ahn 13406
00:02:11.2100000		Dan Tam Shadow Fang Ramuh 12752
00:02:11.2100000		Ramuh gains Shadow Fang from Dan Tam
00:02:11.2990000		Dengue Fever Afflatus Rapture Dan Tam 13540
00:02:11.3890000		Dan Tam prepares Dream Within A Dream on Ramuh 7998
00:02:11.3890000		Dan Tam prepares Dream Within A Dream on Ramuh 11840 (CRITICAL)
00:02:11.3890000		Dan Tam prepares Dream Within A Dream on Ramuh 12159 (CRITICAL)
00:02:11.3890000		Dan Tam gains Assassinate Ready from Dan Tam
00:02:11.4770000		Minju Rose prepares Attack on Ramuh 2937
00:02:11.5230000		Aihyooni Yoomi prepares Ruin II on Ramuh 13977
00:02:11.5670000		Demi-Bahamut gains Well Fed from Yoo Rose
00:02:11.5670000		Demi-Bahamut gains Summon Order III from Ramuh
00:02:11.6110000		Yujin Ahn Storm's Eye Ramuh 11485
00:02:11.6110000		Yujin Ahn gains Storm's Eye from Yujin Ahn
00:02:11.6110000		Demi-Bahamut prepares Akh Morn on Ramuh 70146 (CRITICAL)
00:02:11.7000000		Blue Fever prepares Refulgent Arrow on Ramuh 21562 (DIRECT HIT)
00:02:11.7440000		Blue Fever prepares Shot on Ramuh 6732 (CRITICAL)
00:02:11.7440000		Minju Rose prepares Spirits Within on Ramuh 21390 (CRITICAL)
00:02:11.8320000		Ifrit-Egi Burning Strike Ramuh 8817
00:02:11.8330000		Run Escape prepares Ruin III on Ramuh 17236 (DIRECT HIT)
00:02:11.9220000		Run Escape Fester Ramuh 41098
00:02:12.0100000		Minju Rose Circle Of Scorn Ramuh 4237
00:02:12.0100000		Ramuh gains Circle Of Scorn from Minju Rose
00:02:12.0100000		Minju Rose Attack Ramuh 2937
00:02:12.1000000		Dan Tam Dream Within A Dream Ramuh 7998
00:02:12.2320000		Dan Tam Dream Within A Dream Ramuh 11840
00:02:12.2770000		Dan Tam prepares Attack on Ramuh 4720 (DIRECT HIT)
00:02:12.2770000		Yujin Ahn prepares Heavy Swing on Ramuh 6146
00:02:12.3660000		Dan Tam Dream Within A Dream Ramuh 12159
00:02:12.3660000		Ramuh prepares Unknown_4Bc9 on Minju Rose 27112
00:02:12.4540000		Aihyooni Yoomi Ruin II Ramuh 13977
00:02:12.4550000		Minju Rose prepares Divine Veil on Minju Rose 
00:02:12.4550000		Aihyooni Yoomi gains Aetherflow from Aihyooni Yoomi
00:02:12.4550000		Aihyooni Yoomi prepares Sacred Soil on Aihyooni Yoomi 1944
00:02:12.4990000		Blue Fever Shot Ramuh 6732
00:02:12.4990000		Demi-Bahamut Akh Morn Ramuh 70146
00:02:12.6350000		Minju Rose Spirits Within Ramuh 21390
00:02:12.6350000		Run Escape Ruin III Ramuh 17236
00:02:12.6350000		Yujin Ahn prepares Attack on Ramuh 4015
00:02:12.6790000		Dan Tam prepares Chi on Dan Tam 
00:02:12.6790000		Dan Tam gains Mudra from Dan Tam
00:02:12.7230000		Run Escape prepares Enkindle: Inferno on Ramuh +239 (CRITICAL)
00:02:12.8140000		Dan Tam Attack Ramuh 4720
00:02:12.8140000		Yujin Ahn Heavy Swing Ramuh 6146
00:02:12.8140000		The limit break guage has been updated to 7650. 3 bars are available.
00:02:13.0820000		Minju Rose gains Divine Veil from Minju Rose
00:02:13.0820000		Aihyooni Yoomi gains Sacred Soil from Aihyooni Yoomi
00:02:13.0820000		Aihyooni Yoomi gains Sacred Soil from Aihyooni Yoomi
00:02:13.0820000		Minju Rose gains Sacred Soil from Aihyooni Yoomi
00:02:13.0820000		Dan Tam gains Sacred Soil from Aihyooni Yoomi
00:02:13.0820000		Dengue Fever gains Sacred Soil from Aihyooni Yoomi
00:02:13.0820000		Run Escape gains Sacred Soil from Aihyooni Yoomi
00:02:13.1270000		Blue Fever prepares Mage's Ballad on Ramuh 4065
00:02:13.1270000		Minju Rose gains Mage's Ballad from Blue Fever
00:02:13.1270000		Eos gains Mage's Ballad from Blue Fever
00:02:13.1270000		Ifrit-Egi gains Mage's Ballad from Blue Fever
00:02:13.1270000		Dan Tam gains Mage's Ballad from Blue Fever
00:02:13.1270000		Demi-Bahamut gains Mage's Ballad from Blue Fever
00:02:13.1270000		Yoo Rose gains Mage's Ballad from Blue Fever
00:02:13.1270000		Dengue Fever gains Mage's Ballad from Blue Fever
00:02:13.1270000		Yujin Ahn gains Mage's Ballad from Blue Fever
00:02:13.1270000		Aihyooni Yoomi gains Mage's Ballad from Blue Fever
00:02:13.1270000		Run Escape gains Mage's Ballad from Blue Fever
00:02:13.1710000		Blue Fever Refulgent Arrow Ramuh 21562
00:02:13.1710000		Ramuh Unknown_4Bc9 Minju Rose 27112
00:02:13.1710000		Yujin Ahn Attack Ramuh 4015
00:02:13.1710000		Yujin Ahn gains Surge Protection from 
00:02:13.2150000		Dan Tam prepares Jin on Dan Tam 
00:02:13.2150000		Dan Tam gains Mudra from Dan Tam
00:02:13.3480000		Ifrit-Egi gains Summon Order III from Ramuh
00:02:13.3920000		Ifrit-Egi prepares Inferno on Ramuh 19958 (DIRECT HIT)
00:02:13.4360000		Minju Rose prepares Fast Blade on Ramuh 6842
00:02:13.5250000		Eos prepares Embrace on Aihyooni Yoomi +4262
00:02:13.7030000		Yoo Rose prepares Ruin III on Ramuh 25529 (CRITICAL)
00:02:13.7480000		Demi-Bahamut prepares Wyrmwave on Ramuh 10191 (DIRECT HIT)
00:02:13.7480000		Minju Rose prepares Attack on Ramuh 4634 (CRITICAL)
00:02:13.7480000		Dan Tam prepares Hyosho Ranryu on Ramuh 128045 (CRITICAL)
00:02:13.7920000		Blue Fever Mage's Ballad Ramuh 4065
00:02:14.0600000		Minju Rose Fast Blade Ramuh 6842
00:02:14.1490000		Eos Embrace Aihyooni Yoomi 4262
00:02:14.1490000		Ifrit-Egi prepares Inferno on Ramuh 27410 (CRITICAL)
00:02:14.1490000		Blue Fever prepares Burst Shot on Ramuh 14864 (DIRECT HIT)
00:02:14.2380000		Dengue Fever prepares Medica II on Dengue Fever +9079
00:02:14.2380000		Dengue Fever prepares Medica II on Dan Tam +9366
00:02:14.2380000		Dengue Fever prepares Medica II on Minju Rose +14177 (CRITICAL)
00:02:14.2380000		Dengue Fever prepares Medica II on Run Escape +8947
00:02:14.2380000		Dengue Fever prepares Medica II on Aihyooni Yoomi +14354 (CRITICAL)
00:02:14.2380000		Dengue Fever prepares Medica II on Yoo Rose +9102
00:02:14.2380000		Dengue Fever prepares Medica II on Blue Fever +8971
00:02:14.2380000		Dengue Fever prepares Medica II on Yujin Ahn +9113
00:02:14.2820000		Minju Rose Attack Ramuh 4634
00:02:14.3270000		Ifrit-Egi Inferno Ramuh 19958
00:02:14.3270000		Ramuh gains Inferno from Ifrit-Egi
00:02:14.3710000		Dan Tam Hyosho Ranryu Ramuh 128045
00:02:14.3710000		Run Escape prepares Ruin III on Ramuh 28595 (CRITICAL)
00:02:14.4610000		Dan Tam prepares Assassinate on Ramuh 15986 (CRITICAL)
00:02:14.4610000		Dan Tam prepares Attack on Ramuh 3704
00:02:14.5040000		Yoo Rose Ruin III Ramuh 25529
00:02:14.5940000		Yujin Ahn prepares Maim on Ramuh 15578 (CRITICAL)
00:02:14.7270000		Ifrit-Egi prepares Burning Strike on Ramuh 7343 (CRITICAL)
00:02:14.7710000		Demi-Bahamut Wyrmwave Ramuh 10191
00:02:14.8150000		Blue Fever prepares Shot on Ramuh 4440
00:02:14.9950000		Dan Tam Attack Ramuh 3704
00:02:15.0830000		Ifrit-Egi Inferno Ramuh 27410
00:02:15.0830000		Dengue Fever Medica II Dengue Fever 9079
