-21:45:49.2580000		The limit break guage has been updated to 0. 2 bars are available
00:04:27.6600000		Will Of Ramuh casts Judgment Jolt on Cagnazzo Tarakona
00:04:27.6600000		Will Of Ramuh casts Judgment Jolt on Stone Wolf
00:04:27.6600000		Will Of Ramuh casts Judgment Jolt on White Crystal
00:04:27.6600000		Will Of Ramuh casts Judgment Jolt on Moryn Ward
00:04:27.6600000		Will Of Ramuh casts Judgment Jolt on Dengue Fever
00:04:27.6600000		Will Of Ramuh casts Judgment Jolt on Super Negative
00:04:28.4610000		The limit break guage has been updated to 20100. 3 bars are available
00:04:28.9970000		The limit break guage has been updated to 20000. 2 bars are available
00:04:29.3080000		Angk H'zhet dies
00:04:30.2000000		Blue Fever dies
00:04:30.3340000		Cagnazzo Tarakona dies
00:04:30.4680000		Stone Wolf dies
00:04:30.6020000		White Crystal dies
00:04:30.7350000		Moryn Ward dies
00:04:30.8700000		Dengue Fever dies
00:04:31.0030000		Super Negative dies
