737550.23:57:32.4950000		The limit break guage has been updated to 0. 1 bars are available
00:03:53.2350000		The limit break guage has been updated to 17160. 3 bars are available
00:03:56.2180000		The limit break guage has been updated to 17380. 3 bars are available
00:03:59.2040000		The limit break guage has been updated to 17600. 3 bars are available
00:04:02.2260000		The limit break guage has been updated to 17820. 3 bars are available
00:04:05.2050000		The limit break guage has been updated to 18040. 3 bars are available
00:04:06.7190000		Dengue Fever casts Assize on Dengue Fever
00:04:06.7190000		Dengue Fever casts Assize on Blue Fever
00:04:06.7190000		Dengue Fever casts Assize on Cagnazzo Tarakona
00:04:06.7190000		Dengue Fever casts Assize on Moryn Ward
00:04:06.7190000		Dengue Fever casts Assize on Angk H'zhet
00:04:06.7190000		Dengue Fever casts Assize on White Crystal
00:04:06.7190000		Dengue Fever casts Assize on Ramuh
00:04:06.7190000		Dengue Fever casts Assize on Super Negative
00:04:06.7190000		Dengue Fever casts Assize on Stone Wolf
00:04:08.2320000		The limit break guage has been updated to 18260. 3 bars are available
00:04:09.8350000		White Crystal casts Dark Missionary on White Crystal
00:04:09.8350000		White Crystal casts Dark Missionary on Moryn Ward
00:04:09.8350000		White Crystal casts Dark Missionary on Angk H'zhet
00:04:09.8350000		White Crystal casts Dark Missionary on Blue Fever
00:04:09.8350000		White Crystal casts Dark Missionary on Cagnazzo Tarakona
00:04:09.8350000		White Crystal casts Dark Missionary on Super Negative
00:04:09.8350000		White Crystal casts Dark Missionary on Dengue Fever
00:04:09.8350000		White Crystal casts Dark Missionary on Stone Wolf
00:04:11.2150000		The limit break guage has been updated to 18480. 3 bars are available
00:04:14.2030000		The limit break guage has been updated to 18700. 3 bars are available
00:04:15.9440000		Blue Fever casts Refulgent Arrow on Ramuh
00:04:15.9440000		Blue Fever casts Refulgent Arrow on Ramuh
00:04:15.9440000		Blue Fever casts Refulgent Arrow on Ramuh
00:04:17.1960000		The limit break guage has been updated to 18920. 3 bars are available
00:04:20.2270000		The limit break guage has been updated to 19140. 3 bars are available
00:04:22.8580000		The limit break guage has been updated to 19440. 3 bars are available
00:04:22.8580000		Ramuh casts Centaur's Charge on White Crystal
00:04:22.8580000		Ramuh casts Centaur's Charge on Angk H'zhet
00:04:22.8580000		Ramuh casts Centaur's Charge on Dengue Fever
00:04:22.8580000		Ramuh casts Centaur's Charge on Cagnazzo Tarakona
00:04:22.8580000		Ramuh casts Centaur's Charge on Blue Fever
00:04:22.8580000		Ramuh casts Centaur's Charge on Moryn Ward
00:04:22.8580000		Ramuh casts Centaur's Charge on Super Negative
00:04:22.8580000		Ramuh casts Centaur's Charge on Stone Wolf
00:04:23.2150000		The limit break guage has been updated to 19660. 3 bars are available
00:04:26.2050000		The limit break guage has been updated to 19880. 3 bars are available
00:04:26.3830000		The limit break guage has been updated to 20480. 3 bars are available
00:04:27.0090000		Dengue Fever casts Plenary Indulgence on Dengue Fever
00:04:27.0090000		Dengue Fever casts Plenary Indulgence on Angk H'zhet
00:04:27.0090000		Dengue Fever casts Plenary Indulgence on Blue Fever
00:04:27.0090000		Dengue Fever casts Plenary Indulgence on Cagnazzo Tarakona
00:04:27.0090000		Dengue Fever casts Plenary Indulgence on Moryn Ward
00:04:27.0090000		Dengue Fever casts Plenary Indulgence on White Crystal
00:04:27.0090000		Dengue Fever casts Plenary Indulgence on Super Negative
00:04:27.0090000		Dengue Fever casts Plenary Indulgence on Stone Wolf
00:04:27.6790000		Angk H'zhet casts Indomitability on Angk H'zhet
00:04:27.6790000		Angk H'zhet casts Indomitability on Moryn Ward
00:04:27.6790000		Angk H'zhet casts Indomitability on Dengue Fever
00:04:27.6790000		Angk H'zhet casts Indomitability on Blue Fever
00:04:27.6790000		Angk H'zhet casts Indomitability on Super Negative
00:04:27.6790000		Angk H'zhet casts Indomitability on White Crystal
00:04:27.6790000		Angk H'zhet casts Indomitability on Stone Wolf
00:04:27.6790000		Angk H'zhet casts Indomitability on Cagnazzo Tarakona
00:04:28.4830000		Dengue Fever casts Afflatus Rapture on Dengue Fever
00:04:28.4830000		Dengue Fever casts Afflatus Rapture on Stone Wolf
00:04:28.4830000		Dengue Fever casts Afflatus Rapture on Angk H'zhet
00:04:28.4830000		Dengue Fever casts Afflatus Rapture on Moryn Ward
00:04:28.4830000		Dengue Fever casts Afflatus Rapture on Super Negative
00:04:28.4830000		Dengue Fever casts Afflatus Rapture on White Crystal
00:04:28.4830000		Dengue Fever casts Afflatus Rapture on Blue Fever
00:04:28.4830000		Dengue Fever casts Afflatus Rapture on Cagnazzo Tarakona
00:04:29.1950000		The limit break guage has been updated to 20700. 3 bars are available
00:04:32.2240000		The limit break guage has been updated to 20920. 3 bars are available
00:04:32.8940000		Dengue Fever casts Medica II on Dengue Fever
00:04:32.8940000		Dengue Fever casts Medica II on Angk H'zhet
00:04:32.8940000		Dengue Fever casts Medica II on White Crystal
00:04:32.8940000		Dengue Fever casts Medica II on Super Negative
00:04:32.8940000		Dengue Fever casts Medica II on Moryn Ward
00:04:32.8940000		Dengue Fever casts Medica II on Cagnazzo Tarakona
00:04:32.8940000		Dengue Fever casts Medica II on Blue Fever
00:04:32.8940000		Dengue Fever casts Medica II on Stone Wolf
00:04:35.2090000		The limit break guage has been updated to 21140. 3 bars are available
00:04:38.1980000		The limit break guage has been updated to 21360. 3 bars are available
00:04:39.2230000		Moryn Ward casts Dream Within A Dream on Ramuh
00:04:39.2230000		Moryn Ward casts Dream Within A Dream on Ramuh
00:04:39.2230000		Moryn Ward casts Dream Within A Dream on Ramuh
00:04:41.2280000		The limit break guage has been updated to 21580. 3 bars are available
00:04:44.2230000		The limit break guage has been updated to 21800. 3 bars are available
00:04:47.2080000		The limit break guage has been updated to 22020. 3 bars are available
00:04:50.1980000		The limit break guage has been updated to 22240. 3 bars are available
00:04:50.6430000		Moryn Ward dies
00:04:53.2330000		The limit break guage has been updated to 22460. 3 bars are available
00:04:55.6370000		Angk H'zhet casts Succor on Angk H'zhet
00:04:55.6370000		Angk H'zhet casts Succor on Dengue Fever
00:04:55.6370000		Angk H'zhet casts Succor on White Crystal
00:04:55.6370000		Angk H'zhet casts Succor on Blue Fever
00:04:55.6370000		Angk H'zhet casts Succor on Stone Wolf
00:04:55.6370000		Angk H'zhet casts Succor on Cagnazzo Tarakona
00:04:55.6370000		Angk H'zhet casts Succor on Super Negative
00:04:55.7700000		Dengue Fever casts Afflatus Rapture on Dengue Fever
00:04:55.7700000		Dengue Fever casts Afflatus Rapture on White Crystal
00:04:55.7700000		Dengue Fever casts Afflatus Rapture on Stone Wolf
00:04:55.7700000		Dengue Fever casts Afflatus Rapture on Angk H'zhet
00:04:55.7700000		Dengue Fever casts Afflatus Rapture on Super Negative
00:04:55.7700000		Dengue Fever casts Afflatus Rapture on Cagnazzo Tarakona
00:04:55.7700000		Dengue Fever casts Afflatus Rapture on Blue Fever
00:04:56.2180000		The limit break guage has been updated to 22680. 3 bars are available
00:04:56.5310000		Dengue Fever casts Assize on Ramuh
00:04:56.5310000		Dengue Fever casts Assize on Dengue Fever
00:04:56.5310000		Dengue Fever casts Assize on Super Negative
00:04:56.5310000		Dengue Fever casts Assize on White Crystal
00:04:56.5310000		Dengue Fever casts Assize on Stone Wolf
00:04:56.5310000		Dengue Fever casts Assize on Angk H'zhet
00:04:56.5310000		Dengue Fever casts Assize on Cagnazzo Tarakona
00:04:56.5310000		Dengue Fever casts Assize on Blue Fever
00:04:59.2090000		The limit break guage has been updated to 22900. 3 bars are available
00:05:02.1960000		The limit break guage has been updated to 23120. 3 bars are available
00:05:02.9550000		Dengue Fever casts Medica II on Dengue Fever
00:05:02.9550000		Dengue Fever casts Medica II on Super Negative
00:05:02.9550000		Dengue Fever casts Medica II on Cagnazzo Tarakona
00:05:02.9550000		Dengue Fever casts Medica II on Stone Wolf
00:05:02.9550000		Dengue Fever casts Medica II on White Crystal
00:05:02.9550000		Dengue Fever casts Medica II on Moryn Ward
00:05:02.9550000		Dengue Fever casts Medica II on Blue Fever
00:05:05.2270000		The limit break guage has been updated to 23340. 3 bars are available
00:05:05.4060000		Ramuh casts Chain Lightning on White Crystal
00:05:05.4060000		Ramuh casts Chain Lightning on Blue Fever
00:05:08.1700000		Blue Fever dies
00:05:08.2130000		The limit break guage has been updated to 23560. 3 bars are available
00:05:10.5340000		Ramuh casts Chain Lightning on Angk H'zhet
00:05:10.5340000		Ramuh casts Chain Lightning on Moryn Ward
00:05:10.5800000		Dengue Fever casts Medica II on Dengue Fever
00:05:10.5800000		Dengue Fever casts Medica II on Cagnazzo Tarakona
00:05:10.5800000		Dengue Fever casts Medica II on Stone Wolf
00:05:10.5800000		Dengue Fever casts Medica II on Angk H'zhet
00:05:10.5800000		Dengue Fever casts Medica II on Moryn Ward
00:05:11.2040000		The limit break guage has been updated to 23780. 3 bars are available
00:05:11.7400000		Super Negative dies
00:05:12.4540000		White Crystal dies
00:05:12.7660000		Dengue Fever casts Afflatus Rapture on Dengue Fever
00:05:12.7660000		Dengue Fever casts Afflatus Rapture on Stone Wolf
00:05:12.7660000		Dengue Fever casts Afflatus Rapture on Cagnazzo Tarakona
00:05:12.7660000		Dengue Fever casts Afflatus Rapture on Moryn Ward
00:05:12.7660000		Dengue Fever casts Afflatus Rapture on Angk H'zhet
00:05:13.7490000		Angk H'zhet casts Indomitability on Angk H'zhet
00:05:13.7490000		Angk H'zhet casts Indomitability on Stone Wolf
00:05:13.7490000		Angk H'zhet casts Indomitability on Dengue Fever
00:05:13.7490000		Angk H'zhet casts Indomitability on Moryn Ward
00:05:13.7490000		Angk H'zhet casts Indomitability on Cagnazzo Tarakona
00:05:14.1950000		The limit break guage has been updated to 24000. 3 bars are available
00:05:16.8700000		Moryn Ward dies
00:05:17.2260000		Stone Wolf casts Shake It Off on Stone Wolf
00:05:17.2260000		Stone Wolf casts Shake It Off on Cagnazzo Tarakona
00:05:17.2260000		The limit break guage has been updated to 24220. 3 bars are available
00:05:17.5820000		Angk H'zhet dies
00:05:18.0710000		Ramuh casts Judgment Volts on Stone Wolf
00:05:18.0710000		Ramuh casts Judgment Volts on Cagnazzo Tarakona
00:05:18.2940000		Dengue Fever dies
00:05:20.2120000		The limit break guage has been updated to 24440. 3 bars are available
00:05:21.5480000		The limit break guage has been updated to 20000. 2 bars are available
00:05:22.8380000		Stone Wolf dies
00:05:23.5910000		Cagnazzo Tarakona dies
